Faculty,Position,Gender,Management,DBLP,Area
Luu Anh Tuan,Assistant Professor,M,N,https://dblp.org/pid/81/8329.html,AI/ML
Liang Qianhui,Lecturer,F,N,https://dblp.uni-trier.de/pers/l/Liang:Qianhui_Althea.html,AI/ML
Lana Obraztsova ,Assistant Professor,F,N,https://dblp.org/pers/o/Obraztsova:Svetlana.html,AI/ML
Tan Ah Hwee,Professor,M,Y,https://dblp.org/pers/t/Tan:Ah=Hwee.html,AI/ML
Ke Yiping Kelly,Assistant Professor,F,N,https://dblp.uni-trier.de/pers/k/Ke:Yiping.html,AI/ML
Joty Shafiq Rayhan,Assistant Professor,M,N,https://dblp.org/pers/j/Joty:Shafiq_R=.html,AI/ML
Xavier Bresson,Associate Professor,M,N,https://dblp.uni-trier.de/pers/b/Bresson:Xavier.html,AI/ML
Guan Cuntai,Professor,M,N,https://dblp.org/pers/g/Guan:Cuntai.html,AI/ML
Quek Hiok Chai,Associate Professor,M,N,https://dblp.org/pers/q/Quek:Hiok_Chai.html,AI/ML
Yu Han,Assistant Professor,M,N,https://dblp.org/pers/hd/y/Yu_0001:Han,AI/ML
Zhang Jie,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/z/Zhang_0002:Jie,AI/ML
Chng Eng Siong,Associate Professor,M,N,https://dblp.org/pers/s/Siong:Chng_Eng.html,AI/ML
Erik Cambria,Associate Professor,M,N,https://dblp.uni-trier.de/pers/c/Cambria:Erik.html,AI/ML
Pan Sinno Jialin,Associate Professor,M,N,https://dblp.org/pers/p/Pan:Sinno_Jialin.html,AI/ML
Zinovi Rabinovich  ,Assistant Professor,M,N,https://dblp.org/pers/r/Rabinovich:Zinovi.html,AI/ML
Miao Chunyan,Professor,F,Y,https://dblp.uni-trier.de/pers/m/Miao:Chunyan.html,AI/ML
Mahardhika Pratama  ,Assistant Professor,M,N,https://dblp.org/pers/p/Pratama:Mahardhika.html,AI/ML
Ong Yew Soon,Professor,M,Y,https://dblp.uni-trier.de/pers/o/Ong:Yew=Soon.html,AI/ML
Bo An,Associate Professor,M,N,https://dblp.org/pid/42/6178-1.html,AI/ML
Shen Zhiqi,Senior Lecturer,M,N,https://dblp.uni-trier.de/pers/hd/s/Shen:Zhiqi,AI/ML
Boyang Li,Associate Professor,M,N,https://dblp.org/pid/70/1211.html,AI/ML
Rajapakse Jagath Chandana,Professor,M,N,https://dblp.uni-trier.de/pers/r/Rajapakse:Jagath_C=.html,Bioinformatics
Lin Feng,Associate Professor,M,N,https://dblp.org/pers/hd/l/Lin_0002:Feng,Bioinformatics
Kwoh Chee Keong,Associate Professor,M,N,https://dblp.org/pid/32/228.html,Bioinformatics
Smitha K G,Lecturer,F,N,https://dblp.uni-trier.de/pers/s/Smitha:Kavallur_Gopi.html,Computer Architecture
Anupam Chattopadhyay,Associate Professor,M,N,https://dblp.org/pers/c/Chattopadhyay:Anupam.html,Computer Architecture
Lam Siew Kei,Assistant Professor,M,N,https://dblp.org/pers/l/Lam:Siew=Kei.html,Computer Architecture
Oh Hong Lye,Lecturer,M,N,https://dblp.org/pers/o/Oh:Hong_Lye.html,Computer Architecture
Mohamed M. Sabry  ,Assistant Professor,M,N,https://dblp.org/pers/s/Sabry:Mohamed_M=.html,Computer Architecture
Vun Chan Hua Nicholas,Associate Professor,M,N,https://dblp.org/pers/v/Vun:Nicholas_C=_H=.html,Computer Architecture
Liu Weichen,Assistant Professor,M,N,https://dblp.org/pers/l/Liu:Weichen.html,Computer Architecture
Thambipillai Srikanthan,Professor,M,Y,https://dblp.uni-trier.de/pers/s/Srikanthan:Thambipillai.html,Computer Architecture
Douglas Leslie Maskell,Associate Professor,M,N,https://dblp.org/pers/m/Maskell:Douglas_L=.html,Computer Architecture
Tan Rui,Assistant Professor,M,N,https://dblp.uni-trier.de/pers/t/Tan:Rui.html,Computer Architecture
Arvind Easwaran,Associate Professor,M,N,https://dblp.org/pers/e/Easwaran:Arvind.html,Computer Architecture
He Ying,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/h/He_0001:Ying,Computer Graphics
Zheng Jianmin,Associate Professor,M,N,https://dblp.uni-trier.de/pers/z/Zheng:Jianmin.html,Computer Graphics
Alexei Sourin,Associate Professor,M,N,https://dblp.org/pers/s/Sourin:Alexei.html,Computer Graphics
Seah Hock Soon,Professor,M,Y,https://dblp.org/pers/s/Soon:Seah_Hock.html,Computer Graphics
Yeo Chai Kiat,Associate Professor,F,Y,https://dblp.org/pers/y/Yeo:Chai_Kiat.html,Computer Networks
Zhao Jun,Assistant Professor,M,N,https://dblp.uni-trier.de/pid/47/2026-7.html,Computer Networks
Luo Jun,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/l/Luo_0001:Jun,Computer Networks
A S Madhukumar,Associate Professor,M,N,https://dblp.uni-trier.de/pers/m/Madhukumar:A=_S=.html,Computer Networks
Dusit Niyato,Professor,M,N,https://dblp.uni-trier.de/pers/n/Niyato:Dusit.html,Computer Networks
Lau Chiew Tong,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/l/Lau:Chiew_Tong,Computer Networks
Lee Bu Sung Francis,Associate Professor,M,N,https://dblp.uni-trier.de/pers/l/Lee:Bu=Sung.html,Computer Networks
Li Mo,Associate Professor,M,N,https://dblp.org/pers/hd/l/Li_0001:Mo,Computer Networks
Chan Syin,Associate Professor,F,N,https://dblp.org/pers/c/Chan:Syin.html,Computer Networks
Loke Yuan Ren,Lecturer,M,N,https://dblp.org/pers/l/Loke:Yuan_Ren.html,Computer Vision
Zhang Hanwang,Assistant Professor,M,N,https://dblp.org/pers/z/Zhang:Hanwang.html,Computer Vision
Li Fang Flora,Senior Lecturer,F,N,https://dblp.org/pers/f/Fang:Li.html,Computer Vision
Qian Kemao,Associate Professor,M,N,https://dblp.org/pers/q/Qian:Kemao.html,Computer Vision
Deepu Rajan,Associate Professor,M,N,https://dblp.uni-trier.de/pers/r/Rajan:Deepu.html,Computer Vision
Lin Guosheng,Assistant Professor,M,N,https://dblp.org/pers/l/Lin:Guosheng.html,Computer Vision
Cham Tat Jen,Associate Professor,M,N,https://dblp.uni-trier.de/pers/c/Cham:Tat=Jen.html,Computer Vision
Cai Jianfei,Professor,M,N,https://dblp.org/pid/83/6096.html,Computer Vision
Lu Shijian,Assistant Professor,M,N,https://dblp.uni-trier.de/pers/l/Lu:Shijian.html,Computer Vision
Loy Chen Change,Associate Professor,M,N,https://dblp.uni-trier.de/pers/l/Loy:Chen_Change.html,Computer Vision
Kong Wai-Kin Adams,Associate Professor,M,N,https://dblp.org/pers/k/Kong:Adams_Wai=Kin.html,Computer Vision
Liu Zhiwei,Assistant Professor,M,N,https://dblp.org/pid/90/9499.html,Computer Vision
Tay Kian Boon,Senior Lecturer,M,N,https://dblp.uni-trier.de/pers/hd/t/Tan:Kian_Boon,Cyber Security
Zhang Tianwei,Assistant Professor,M,N,https://dblp.uni-trier.de/pers/hd/z/Zhang:Tianwei,Cyber Security
Tan Kheng Leong,Lecturer,M,N,https://dblp.org/pers/hd/t/Tan:Kheng_Leong,Cyber Security
Sourav Sen Gupta,Lecturer,M,N,https://dblp.org/pers/g/Gupta:Sourav_Sen.html,Cyber Security
Ng Wee Keong,Associate Professor,M,N,https://dblp.org/pers/n/Ng:Wee_Keong.html,Cyber Security
Lam Kwok Yan,Professor,M,N,https://dblp.uni-trier.de/pers/l/Lam:Kwok=Yan.html,Cyber Security
Arijit Khan,Assistant Professor,M,N,https://dblp.org/pers/k/Khan:Arijit.html,Data Management
Sourav S Bhowmick,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/b/Bhowmick:Sourav_S=,Data Management
Long Cheng,Assistant Professor,M,N,https://dblp.org/pers/l/Long:Cheng.html,Data Mining
Cong Gao,Professor,M,N,https://dblp.uni-trier.de/pers/c/Cong:Gao.html,Data Mining
Anwitaman Datta,Associate Professor,M,N,https://dblp.org/pers/d/Datta:Anwitaman.html,Distributed Systems
Tang Xueyan,Associate Professor,M,N,https://dblp.org/pers/t/Tang:Xueyan.html,Distributed Systems
Huang Shell Ying,Senior Lecturer,F,N,https://dblp.org/pers/h/Huang:Shell=Ying.html,Distributed Systems
Cai Wentong,Professor,M,Y,https://dblp.org/pid/83/3179.html,Distributed Systems
Sun Chengzheng,Professor,M,N,https://dblp.org/pers/s/Sun:Chengzheng.html,HCI
Goh Wooi Boon,Associate Professor,M,N,https://dblp.org/pers/g/Goh:Wooi=Boon.html,HCI
Owen Noel Newton Fernando,Senior Lecturer,M,N,https://dblp.uni-trier.de/pers/f/Fernando:Owen_Noel_Newton.html,HCI
Hui Siu Cheung,Associate Professor,M,N,https://dblp.org/pers/h/Hui:Siu_Cheung.html,Information Retrieval
Sun Aixin,Associate Professor,M,N,https://dblp.org/pers/s/Sun:Aixin.html,Information Retrieval
Lin Weisi,Professor,M,N,https://dblp.uni-trier.de/pers/l/Lin:Weisi.html,Multimedia
Wen Yonggang,Professor,M,N,https://dblp.org/pid/33/885.html,Multimedia
Chia Liang Tien Clement,Associate Professor,M,N,https://dblp.org/pers/c/Chia:Liang=Tien.html,Multimedia
Li Yi,Assistant Professor,M,N,https://dblp.uni-trier.de/pers/hd/l/Li_0008:Yi,Software Engineering
Lin Shang-Wei,Assistant Professor,M,N,https://dblp.org/pid/55/4730-1.html,Software Engineering
Liu Yang,Professor,M,N,https://dblp.org/pers/hd/l/Liu_0003:Yang,Software Engineering
